season,week,player_id,player_name,team,position,fantasy_points,projected_points
2022,1,3916433,Jakobi Meyers,LV,WR,10.2,10.64
2022,1,3115378,Russell Gage,TB,WR,3.3,10.05
2022,1,3123076,David Njoku,CLE,TE,1.7,7.96
2022,1,3917792,Daniel Jones,NYG,QB,16.02,16.68
2022,1,4262921,Justin Jefferson,MIN,WR,39.4,17.87
2022,1,4241389,CeeDee Lamb,DAL,WR,4.9,16.97
2022,1,3128720,Nick Chubb,CLE,RB,15.3,13.87
2022,1,4239996,Travis Etienne Jr.,JAX,RB,8.5,13.56
2022,1,3916387,Lamar Jackson,BAL,QB,20.22,21.24
2022,1,2976316,Michael Thomas,NO,WR,22.7,13.12
2022,1,4360238,Dameon Pierce,HOU,RB,4.9,10.95
2022,1,3916148,Tony Pollard,DAL,RB,4.2,10.64
2022,1,3128390,Allen Lazard,NYJ,WR,0.0,0.0
2022,1,3930086,Dawson Knox,BUF,TE,1.5,9.36
2022,1,4048244,Alexander Mattison,MIN,RB,3.6,4.33
2022,1,4426354,George Pickens,PIT,WR,1.3,8.57
2022,1,13982,Julio Jones,TB,WR,11.6,9.82
2022,1,4569587,Wan'Dale Robinson,NYG,WR,1.5,8.77
2022,1,16800,Davante Adams,LV,WR,30.1,17.32
2022,1,2976212,Stefon Diggs,BUF,WR,26.2,16.67
2022,1,4241985,J.K. Dobbins,BAL,RB,0.0,0.0
2022,1,3918298,Josh Allen,BUF,QB,31.48,22.65
2022,1,4045163,Miles Sanders,CAR,RB,18.5,12.85
2022,1,2976499,Amari Cooper,CLE,WR,4.7,11.62
2022,1,4569173,Rhamondre Stevenson,NE,RB,4.7,11.28
2022,1,4360939,Rashod Bateman,BAL,WR,13.9,12.2
2022,1,3139925,Rashaad Penny,PHI,RB,8.7,13.18
2022,1,4052042,James Robinson,NE,RB,19.9,8.56
2022,1,4430191,Skyy Moore,KC,WR,4.0,5.43
2022,1,3116164,Mike Gesicki,NE,TE,1.1,8.57
2022,1,3115394,DJ Chark,DET,WR,15.2,9.43
2022,1,3121427,Curtis Samuel,WSH,WR,19.2,8.99
2022,1,3116593,Dalvin Cook,MIN,RB,13.8,16.77
2022,1,4259545,D'Andre Swift,DET,RB,26.5,16.04
2022,1,4047646,A.J. Brown,PHI,WR,25.5,14.4
2022,1,3139477,Patrick Mahomes,KC,QB,34.9,22.66
2022,1,4243537,Gabe Davis,BUF,WR,18.8,12.31
2022,1,4242214,Clyde Edwards-Helaire,KC,RB,22.4,11.59
2022,1,4241478,DeVonta Smith,PHI,WR,0.0,12.15
2022,1,15835,Zach Ertz,ARI,TE,11.4,10.04
2022,1,4361370,Chris Olave,NO,WR,9.1,9.55
2022,1,16782,Jerick McKinnon,KC,RB,7.9,5.88
2022,1,2573401,Tyler Higbee,LAR,TE,8.9,8.82
2022,1,4360310,Trevor Lawrence,JAX,QB,13.4,15.94
2022,1,4361529,Isiah Pacheco,KC,RB,12.2,3.15
2022,1,4372485,Rondale Moore,ARI,WR,0.0,0.0
2022,2,3043078,Derrick Henry,TEN,RB,8.5,17.03
2022,2,3116385,Joe Mixon,CIN,RB,11.3,16.55
2022,2,4035538,David Montgomery,DET,RB,15.6,13.4
2022,2,4374302,Amon-Ra St. Brown,DET,WR,39.4,13.49
2022,2,3116165,Chris Godwin,TB,WR,0.0,0.0
2022,2,16799,Allen Robinson II,LAR,WR,15.3,11.69
2022,2,14881,Russell Wilson,DEN,QB,11.06,20.09
2022,2,3895856,Christian Kirk,JAX,WR,25.8,12.61
2022,2,4035886,Khalil Herbert,CHI,RB,5.1,5.6
2022,2,2576434,Melvin Gordon III,None,RB,6.3,11.39
2022,2,3046439,Hunter Henry,NE,TE,0.0,7.93
2022,2,4035004,Mecole Hardman,KC,WR,7.5,11.23
2022,2,16733,Odell Beckham Jr.,None,WR,0.0,0.0
2022,2,16813,Logan Thomas,WSH,TE,12.7,8.65
2022,2,3068267,Austin Ekeler,LAC,RB,18.4,18.79
2022,2,4361579,Javonte Williams,DEN,RB,9.5,16.03
2022,2,3915416,DJ Moore,CHI,WR,13.3,13.96
2022,2,4239993,Tee Higgins,CIN,WR,19.1,13.86
2022,2,3932905,Diontae Johnson,PIT,WR,13.7,13.93
2022,2,4040715,Jalen Hurts,PHI,QB,33.02,21.96
2022,2,4360294,Antonio Gibson,WSH,RB,12.1,16.19
2022,2,2577327,Tyler Lockett,SEA,WR,19.7,10.5
2022,2,15795,DeAndre Hopkins,ARI,WR,0.0,0.0
2022,2,3916430,Nyheim Hines,BUF,RB,7.7,9.56
2022,2,4361411,Pat Freiermuth,PIT,TE,12.2,9.76
2022,2,4039359,Darrell Henderson Jr.,None,RB,10.7,15.49
2022,2,4426388,Jameson Williams,DET,WR,0.0,0.0
2022,2,4258173,Nico Collins,HOU,WR,9.8,9.61
2022,2,4242335,Jonathan Taylor,IND,RB,7.3,21.72
2022,2,3929630,Saquon Barkley,NYG,RB,11.8,17.3
2022,2,3121422,Terry McLaurin,WSH,WR,12.2,14.34
2022,2,3128429,Courtland Sutton,DEN,WR,19.7,13.01
