season,week,player_id,player_name,team,position,fantasy_points,projected_points,prev_week_points,last_3_avg,season_avg,fantasy_stdev,efficiency_ratio,boom_weeks,bust_weeks,high_ceiling_weeks,low_floor_weeks,fantasy_z_score,momentum,positional_avg_fantasy_points,cumulative_fantasy_points
2024,14,4040715,Jalen Hurts,PHI,QB,24.22,22.49,17.62,17.14,19.866153846153846,9.066728129505096,1.0769230769230769,0.0,0.0,1.0,0.0,0.4802003646362567,7.079999999999998,16.13356725146199,282.48
2024,15,4040715,Jalen Hurts,PHI,QB,28.1,20.01,24.22,18.96666666666667,20.177142857142858,8.788404448320113,1.4042978510744628,1.0,0.0,1.0,0.0,0.9015125771062553,9.133333333333333,16.13356725146199,310.58
2024,16,4040715,Jalen Hurts,PHI,QB,4.54,22.18,28.1,23.313333333333333,20.705333333333332,8.71228842060509,0.20468890892696123,1.0,0.0,1.0,0.0,-1.8554635192174471,-18.773333333333333,16.13356725146199,315.12
2024,17,4040715,Jalen Hurts,PHI,QB,0.0,0.0,4.54,18.953333333333333,19.695,9.336813160816703,0.0,0.0,1.0,0.0,0.0,-2.109392108503674,-18.953333333333333,16.13356725146199,315.12
2024,1,4040761,Devin Singletary,NYG,RB,9.2,11.96,0.0,10.88,18.536470588235293,10.224715730263894,0.7692307692307692,0.0,1.0,0.0,1.0,-0.9131276442826176,-1.6800000000000015,9.654273858921162,9.2
2024,2,4040761,Devin Singletary,NYG,RB,14.5,13.22,9.2,9.2,9.2,0.0,1.0968229954614221,0.0,0.0,0.0,0.0,0.0,5.300000000000001,9.654273858921162,23.7
2024,3,4040761,Devin Singletary,NYG,RB,18.8,12.82,14.5,11.85,11.85,3.7476659402887025,1.466458658346334,0.0,0.0,0.0,0.0,1.8544875959420775,6.950000000000001,9.654273858921162,42.5
2024,4,4040761,Devin Singletary,NYG,RB,4.8,14.33,18.8,14.166666666666666,14.166666666666666,4.808672720547047,0.3349616189811584,0.0,0.0,1.0,0.0,-1.947869445687934,-9.366666666666667,9.654273858921162,47.3
2024,5,4040761,Devin Singletary,NYG,RB,0.0,0.0,4.8,12.699999999999998,11.825,6.111396457984596,0.0,0.0,1.0,0.0,0.0,-1.9349096530221872,-12.699999999999998,9.654273858921162,47.3
2024,6,4040761,Devin Singletary,NYG,RB,0.0,0.0,0.0,7.866666666666667,9.459999999999999,7.481844692320203,0.0,0.0,1.0,0.0,1.0,-1.2643940617626412,-7.866666666666667,9.654273858921162,47.3
2024,7,4040761,Devin Singletary,NYG,RB,3.1,8.72,0.0,1.5999999999999999,7.883333333333333,7.726426513380339,0.3555045871559633,0.0,1.0,0.0,1.0,-0.619087404125275,1.5000000000000002,9.654273858921162,50.4
2024,8,4040761,Devin Singletary,NYG,RB,4.3,5.06,3.1,1.0333333333333334,7.2,7.281254470671017,0.849802371541502,0.0,1.0,0.0,0.0,-0.39828301725770415,3.2666666666666666,9.654273858921162,54.7
2024,9,4040761,Devin Singletary,NYG,RB,3.3,4.94,4.3,2.466666666666667,6.8375,6.818658749553108,0.6680161943319837,0.0,1.0,0.0,0.0,-0.5187970435141437,0.833333333333333,9.654273858921162,58.0
2024,10,4040761,Devin Singletary,NYG,RB,5.5,5.59,3.3,3.5666666666666664,6.444444444444445,6.486353195577449,0.9838998211091234,0.0,1.0,0.0,0.0,-0.14560484388799388,1.9333333333333336,9.654273858921162,63.5
2024,11,4040761,Devin Singletary,NYG,RB,0.0,0.0,5.5,4.366666666666666,6.35,6.122680966882255,0.0,0.0,1.0,0.0,0.0,-1.0371273686065499,-4.366666666666666,9.654273858921162,63.5
2024,13,4040761,Devin Singletary,NYG,RB,2.3,7.61,0.0,2.933333333333333,5.7727272727272725,6.115895831207544,0.3022339027595269,0.0,1.0,0.0,1.0,-0.567819885846814,-0.6333333333333333,9.654273858921162,65.8
2024,2,4045163,Miles Sanders,CAR,RB,5.5,8.98,0.0,2.5999999999999996,5.483333333333333,5.916822447799822,0.6124721603563474,0.0,1.0,0.0,1.0,0.0028168272436270465,2.9000000000000004,9.654273858921162,5.5
2024,4,4045163,Miles Sanders,CAR,RB,7.6,7.73,5.5,5.5,5.5,0.0,0.983182406209573,0.0,1.0,0.0,0.0,0.0,2.0999999999999996,9.654273858921162,13.1
2024,5,4045163,Miles Sanders,CAR,RB,5.3,7.24,7.6,6.55,6.55,1.4849242404917495,0.7320441988950276,0.0,0.0,0.0,0.0,-0.8417937871268425,-1.25,9.654273858921162,18.4
2024,6,4045163,Miles Sanders,CAR,RB,2.3,6.75,5.3,6.133333333333333,6.133333333333333,1.2741009902410925,0.34074074074074073,0.0,1.0,0.0,0.0,-3.0086573691524787,-3.833333333333333,9.654273858921162,20.7
2024,7,4045163,Miles Sanders,CAR,RB,3.8,6.03,2.3,5.066666666666666,5.175,2.1807873196011878,0.6301824212271973,0.0,1.0,0.0,1.0,-0.6305062339831715,-1.2666666666666666,9.654273858921162,24.5
2024,8,4045163,Miles Sanders,CAR,RB,11.5,4.71,3.8,3.7999999999999994,4.9,1.9862024066041204,2.4416135881104033,0.0,1.0,0.0,0.0,3.322924178349099,7.700000000000001,9.654273858921162,36.0
2024,9,4045163,Miles Sanders,CAR,RB,1.0,6.65,11.5,5.866666666666666,6.0,3.2273828406310896,0.15037593984962405,0.0,0.0,0.0,0.0,-1.549242915049486,-4.866666666666666,9.654273858921162,37.0
2024,10,4045163,Miles Sanders,CAR,RB,0.5,7.14,1.0,5.433333333333333,5.285714285714286,3.500204075683098,0.0700280112044818,0.0,1.0,0.0,1.0,-1.3672672170637101,-4.933333333333333,9.654273858921162,37.5
2024,11,4045163,Miles Sanders,CAR,RB,0.0,0.0,0.5,4.333333333333333,4.6875,3.6556951654722445,0.0,0.0,1.0,0.0,1.0,-1.2822458623664992,-4.333333333333333,9.654273858921162,37.5
2024,12,4045163,Miles Sanders,CAR,RB,0.0,0.0,0.0,0.4999999999999994,4.166666666666667,3.7596542394214922,0.0,0.0,1.0,0.0,1.0,-1.1082579411099789,-0.4999999999999994,9.654273858921162,37.5
2024,13,4045163,Miles Sanders,CAR,RB,0.0,0.0,0.0,0.16666666666666607,3.75,3.7816075358973404,0.0,0.0,1.0,0.0,1.0,-0.9916417725537877,-0.16666666666666607,9.654273858921162,37.5
2024,1,4047365,Josh Jacobs,GB,RB,12.4,15.77,0.0,0.0,3.409090909090909,3.761503567844791,0.7863031071655041,0.0,1.0,0.0,1.0,2.39024340366652,12.4,9.654273858921162,12.4
2024,2,4047365,Josh Jacobs,GB,RB,13.1,14.82,12.4,12.4,12.4,0.0,0.883940620782726,0.0,0.0,0.0,0.0,0.0,0.6999999999999993,9.654273858921162,25.5
2024,3,4047365,Josh Jacobs,GB,RB,5.8,15.91,13.1,12.75,12.75,0.49497474683058273,0.3645505971087366,0.0,0.0,0.0,0.0,-14.041120369275745,-6.95,9.654273858921162,31.3
2024,4,4047365,Josh Jacobs,GB,RB,11.8,13.98,5.8,10.433333333333334,10.433333333333334,4.027819923151149,0.844062947067239,0.0,1.0,0.0,0.0,0.33930679443023876,1.3666666666666671,9.654273858921162,43.1
2024,5,4047365,Josh Jacobs,GB,RB,16.4,15.55,11.8,10.233333333333333,10.775,3.3589432862136865,1.0546623794212218,0.0,0.0,0.0,0.0,1.6746338120941264,6.166666666666666,9.654273858921162,59.5
2024,6,4047365,Josh Jacobs,GB,RB,12.0,14.78,16.4,11.333333333333334,11.9,3.8457769046058816,0.8119079837618404,0.0,0.0,0.0,0.0,0.026002548374617098,0.6666666666666661,9.654273858921162,71.5
2024,7,4047365,Josh Jacobs,GB,RB,20.2,13.35,12.0,13.4,11.916666666666666,3.4400096899088326,1.5131086142322097,0.0,0.0,0.0,0.0,2.407938953669883,6.799999999999999,9.654273858921162,91.7
2024,8,4047365,Josh Jacobs,GB,RB,25.5,15.4,20.2,16.2,13.1,4.434335726276634,1.655844155844156,1.0,0.0,1.0,0.0,2.7963602138920303,9.3,9.654273858921162,117.2
2024,9,4047365,Josh Jacobs,GB,RB,12.8,14.62,25.5,19.233333333333334,14.65,6.006187285981491,0.8755129958960329,1.0,0.0,1.0,0.0,-0.30801570312632787,-6.433333333333334,9.654273858921162,130.0
2024,10,4047365,Josh Jacobs,GB,RB,0.0,0.0,12.8,19.5,14.444444444444445,5.652015373101684,0.0,0.0,0.0,0.0,0.0,-2.5556272393006063,-19.5,9.654273858921162,130.0
2024,11,4047365,Josh Jacobs,GB,RB,23.4,14.57,0.0,12.766666666666666,13.0,7.018546858146634,1.6060398078242963,0.0,1.0,0.0,1.0,1.4817882120325823,10.633333333333333,9.654273858921162,153.4
2024,12,4047365,Josh Jacobs,GB,RB,28.6,16.15,23.4,12.066666666666668,13.945454545454545,7.359804839309754,1.7708978328173377,1.0,0.0,1.0,0.0,1.9911595177461046,16.53333333333333,9.654273858921162,182.0
2024,13,4047365,Josh Jacobs,GB,RB,21.7,18.57,28.6,17.333333333333332,15.166666666666666,8.193826205063656,1.1685514270328485,1.0,0.0,1.0,0.0,0.7973482924614431,4.366666666666667,9.654273858921162,203.7
2024,14,4047365,Josh Jacobs,GB,RB,24.6,16.95,21.7,24.566666666666666,15.669230769230769,8.051540703015025,1.4513274336283186,1.0,0.0,1.0,0.0,1.1092000351466853,0.03333333333333499,9.654273858921162,228.3
2024,15,4047365,Josh Jacobs,GB,RB,21.6,18.8,24.6,24.96666666666667,16.307142857142857,8.095531938213655,1.148936170212766,1.0,0.0,1.0,0.0,0.6537997976233118,-3.366666666666667,9.654273858921162,249.9
2024,16,4047365,Josh Jacobs,GB,RB,20.7,23.2,21.6,22.633333333333336,16.66,7.919848483399162,0.8922413793103449,1.0,0.0,1.0,0.0,0.5101107689709299,-1.9333333333333371,9.654273858921162,270.6
2024,17,4047365,Josh Jacobs,GB,RB,10.9,20.41,20.7,22.3,16.9125,7.7176745202165655,0.5340519353258207,1.0,0.0,1.0,0.0,-0.7790559169410638,-11.4,9.654273858921162,281.5
2024,1,4047646,A.J. Brown,PHI,WR,22.9,17.19,0.0,17.733333333333334,16.558823529411764,7.613561816220564,1.3321698662012795,0.0,0.0,0.0,0.0,0.8328790943915981,5.166666666666664,10.096716917922947,22.9
2024,2,4047646,A.J. Brown,PHI,WR,0.0,0.0,22.9,22.9,22.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-22.9,10.096716917922947,22.9
2024,3,4047646,A.J. Brown,PHI,WR,0.0,0.0,0.0,11.45,11.45,16.19274528917194,0.0,0.0,1.0,0.0,1.0,-0.7071067811865475,-11.45,10.096716917922947,22.9
2024,4,4047646,A.J. Brown,PHI,WR,0.0,0.0,0.0,7.633333333333333,7.633333333333333,13.221321164442429,0.0,0.0,1.0,0.0,1.0,-0.5773502691896257,-7.633333333333333,10.096716917922947,22.9
2024,5,4047646,A.J. Brown,PHI,WR,0.0,0.0,0.0,0.0,5.725,11.45,0.0,0.0,1.0,0.0,1.0,-0.5,0.0,10.096716917922947,22.9
2024,6,4047646,A.J. Brown,PHI,WR,23.6,15.2,0.0,0.0,4.58,10.241191336949036,1.5526315789473686,0.0,1.0,0.0,1.0,1.8572058048928388,23.6,10.096716917922947,46.5
2024,7,4047646,A.J. Brown,PHI,WR,19.9,16.94,23.6,7.866666666666667,7.75,12.008288803988686,1.174734356552538,1.0,0.0,1.0,0.0,1.0118011149069168,12.033333333333331,10.096716917922947,66.4
2024,8,4047646,A.J. Brown,PHI,WR,13.4,16.82,19.9,14.5,9.485714285714286,11.885064657155295,0.7966706302021404,0.0,0.0,1.0,0.0,0.3293449238350718,-1.0999999999999996,10.096716917922947,79.8
